die back,plot,Harvest Date,sample number,variety,treatment,row,block,%CBDA,%CBDA as CBD,%THCA,%THCA as THC,Ratio
10%,1,9/25/21,191,Berry Blossom,N+,1,1,6.239804054,5.472308156,0.266002688,0.233284357,23.45767294
10%,2,9/17/21,192,Tahoe Cinco,N+,1,1,8.938456663,7.839026493,0.385443533,0.338033978,23.19005484
10%,3,9/28/21,193,Red Bordeaux,N+,1,1,8.197539381,7.189242037,0.339773335,0.297981215,24.12649416
10%,4,9/21/21,194,Tahoe Cinco,Control,2,1,10.15452876,8.905521722,0.413430451,0.362578505,24.56163725
10%,5,9/25/21,195,Berry Blossom,Control,2,1,8.306255305,7.284585903,0.339734782,0.297947404,24.44923437
10%,6,9/28/21,196,Red Bordeaux,Control,2,1,8.57612869,7.521264862,0.336000805,0.294672706,25.52413141
10%,7,9/28/21,197,Red Bordeaux,N+,3,2,9.943732374,8.720653292,0.378387791,0.331846093,26.27921042
10%,8,9/25/21,198,Berry Blossom,N+,3,2,9.966764079,8.740852097,0.413965294,0.363047563,24.07632773
10%,9,9/17/21,199,Tahoe Cinco,N+,3,2,8.816237803,7.731840554,0.370837488,0.325224477,23.77385806
10%,10,9/21/21,200,Tahoe Cinco,Control,4,2,12.09264255,10.60524751,0.496325155,0.435277161,24.36435553
10%,11,9/28/21,201,Red Bordeaux,Control,4,2,5.843092049,5.124391727,0.224833665,0.197179124,25.98851047
10%,12,9/25/21,202,Berry Blossom,Control,4,2,12.07784973,10.59227421,0.487754164,0.427760402,24.76216632
10%,13,9/17/21,203,Tahoe Cinco,N+,5,3,8.520532006,7.472506569,0.377360138,0.330944841,22.57931122
10%,14,9/25/21,204,Berry Blossom,N+,5,3,9.915691655,8.696061582,0.415980765,0.364815131,23.83689942
10%,15,9/28/21,205,Red Bordeaux,N+,5,3,8.664850457,7.599073851,0.344227231,0.301887282,25.17189134
10%,16,9/25/21,206,Berry Blossom,Control,6,3,8.410749759,7.376227539,0.33651551,0.295124102,24.99364667
10%,17,9/28/21,207,Red Bordeaux,Control,6,3,9.442719581,8.281265073,0.373992506,0.327991428,25.24841921
10%,18,9/21/21,208,Tahoe Cinco,Control,6,3,7.61346553,6.67700927,0.306523168,0.268820819,24.83814053
10%,19,9/17/21,209,Tahoe Cinco,N+,7,4,9.169939932,8.04203732,0.388946356,0.341105954,23.5763616
10%,20,9/25/21,210,Berry Blossom,N+,7,4,7.401179055,6.490834031,0.316929242,0.277946945,23.35278061
10%,21,9/28/21,211,Red Bordeaux,N+,7,4,9.858089237,8.645544261,0.398956452,0.349884809,24.70968745
10%,22,9/25/21,212,Berry Blossom,Control,8,4,10.45220487,9.166583669,0.419674665,0.368054681,24.90549407
10%,23,9/28/21,213,Red Bordeaux,Control,8,4,13.28327183,11.64942939,0.516254834,0.45275549,25.73006768
10%,24,9/21/21,214,Tahoe Cinco,Control,8,4,8.676934324,7.609671402,0.35997124,0.315694778,24.104521
90%,1,10/7/21,215,Berry Blossom,N+,1,1,7.695331135,6.748805405,0.241291594,0.211612728,31.8922471
90%,2,10/5/21,216,Tahoe Cinco,N+,1,1,15.69069954,13.7607435,0.569122951,0.499120828,27.56996448
90%,3,10/7/21,217,Red Bordeaux,N+,1,1,13.02931992,11.42671357,0.457561941,0.401281822,28.47553252
90%,4,10/5/21,218,Tahoe Cinco,Control,2,1,13.54241237,11.87669565,0.502706047,0.440873203,26.93902817
90%,5,10/7/21,219,Berry Blossom,Control,2,1,11.36628832,9.968234854,0.381836234,0.334870377,29.76744298
90%,6,10/7/21,220,Red Bordeaux,Control,2,1,10.6839167,9.369794945,0.33807991,0.296496081,31.60174969
90%,7,10/7/21,221,Red Bordeaux,N+,3,2,12.13711795,10.64425244,0.396897866,0.348079429,30.57995261
90%,8,10/7/21,222,Berry Blossom,N+,3,2,12.17508893,10.67755299,0.422430673,0.3704717,28.82150777
90%,9,10/5/21,223,Tahoe Cinco,N+,3,2,16.01793387,14.04772801,0.525614964,0.460964324,30.47465344
90%,10,10/5/21,224,Tahoe Cinco,Control,4,2,13.77130283,12.07743258,0.444223864,0.389584329,31.00081725
90%,11,10/7/21,225,Red Bordeaux,Control,4,2,6.831752391,5.991446847,0.205127941,0.179897204,33.30483584
