Date ,Variety ,Row,Treatment,Plot,subsetNDVI,Perc,AvgNDVI,Canopy_m,Canopy_cm,Number of Plants,Canopy_m2 per plant
7/22/2021,Berry Blossom,1,N+,1,1,0.8,0.932403428,0.226111395,2261.113946,2,0.113055697
7/22/2021,Tahoe,4,Control,10,1,0.8,0.905077249,0.045035599,450.3559898,2,0.022517799
7/22/2021,Red Bordeaux,4,Control,11,1,0.8,0.920398056,0.093775879,937.7587908,2,0.04688794
7/22/2021,Berry Blossom,4,Control,12,1,0.8,0.934800314,0.101992795,1019.927954,2,0.050996398
7/22/2021,Tahoe,5,N+,13,1,0.8,0.937090323,0.125883651,1258.836511,2,0.062941826
7/22/2021,Berry Blossom,5,N+,14,1,0.8,0.955047138,0.455036912,4550.369117,2,0.227518456
7/22/2021,Red Bordeaux,5,N+,15,1,0.8,0.960672229,0.261471339,2614.71339,2,0.130735669
7/22/2021,Berry Blossom,6,Control,16,1,0.8,0.934492067,0.149356271,1493.562708,2,0.074678135
7/22/2021,Red Bordeaux,6,Control,17,1,0.8,0.944433784,0.115617861,1156.178608,2,0.05780893
7/22/2021,Tahoe,6,Control,18,1,0.8,0.928925716,0.0905221,905.2210017,2,0.04526105
7/22/2021,Tahoe,7,N+,19,1,0.8,0.938184883,0.086911669,869.1166938,2,0.043455835
7/22/2021,Tahoe,1,N+,2,1,0.8,0.955308712,0.390626976,3906.269764,2,0.195313488
7/22/2021,Berry Blossom,7,N+,20,1,0.8,0.937346446,0.241488124,2414.88124,2,0.120744062
7/22/2021,Red Bordeaux,7,N+,21,1,0.8,0.93248612,0.106100718,1061.007181,2,0.053050359
7/22/2021,Berry Blossom,8,Control,22,1,0.8,0.898331346,0.036228011,362.2801144,2,0.018114006
7/22/2021,Red Bordeaux,8,Control,23,1,0.8,0.935352081,0.107031976,1070.319757,2,0.053515988
7/22/2021,Tahoe,8,Control,24,1,0.8,0.873191843,0.018928789,189.2878923,2,0.009464395
7/22/2021,Red Bordeaux,1,N+,3,1,0.8,0.934954173,0.212055241,2120.55241,2,0.106027621
7/22/2021,Tahoe,2,Control,4,1,0.8,0.941330262,0.058951984,589.5198356,2,0.029475992
7/22/2021,Berry Blossom,2,Control,5,1,0.8,0.92998,0.076811888,768.1188821,2,0.038405944
7/22/2021,Red Bordeaux,2,Control,6,1,0.8,0.920578796,0.035776038,357.760382,2,0.017888019
7/22/2021,Red Bordeaux,3,N+,7,1,0.8,0.923060213,0.066612502,666.1250157,2,0.033306251
7/22/2021,Berry Blossom,3,N+,8,1,0.8,0.954330828,0.140952996,1409.529958,2,0.070476498
7/22/2021,Tahoe,3,N+,9,1,0.8,0.920207936,0.056385268,563.8526823,2,0.028192634
7/8/2021,Berry Blossom,1,N+,1,1,0.8,0.863098673,0.030119411,301.1941103,2,0.015059706
7/8/2021,Tahoe,4,Control,10,1,0.8,0.847576122,0.014878167,148.781665,2,0.007439083
7/8/2021,Red Bordeaux,4,Control,11,1,0.8,0.824090848,0.01938826,193.8825966,2,0.00969413
7/8/2021,Berry Blossom,4,Control,12,1,0.8,0.865295412,0.026059149,260.5914906,2,0.013029575
7/8/2021,Tahoe,5,N+,13,1,0.8,0.847532434,0.038224941,382.249406,2,0.01911247
7/8/2021,Berry Blossom,5,N+,14,1,0.8,0.916434654,0.087787769,877.8776917,2,0.043893885
7/8/2021,Red Bordeaux,5,N+,15,1,0.8,0.865666059,0.053469398,534.6939821,2,0.026734699
7/8/2021,Berry Blossom,6,Control,16,1,0.8,0.873061236,0.038010735,380.1073528,2,0.019005368
7/8/2021,Red Bordeaux,6,Control,17,1,0.8,0.849334448,0.023821774,238.2177442,2,0.011910887
7/8/2021,Tahoe,6,Control,18,1,0.8,0.848878513,0.024447254,244.4725397,2,0.012223627
7/8/2021,Tahoe,7,N+,19,1,0.8,0.86549053,0.022390347,223.9034732,2,0.011195174
7/8/2021,Tahoe,1,N+,2,1,0.8,0.889701535,0.08880578,888.0577998,2,0.04440289
7/8/2021,Berry Blossom,7,N+,20,1,0.8,0.863832715,0.050918748,509.1874828,2,0.025459374
7/8/2021,Red Bordeaux,7,N+,21,1,0.8,0.840935567,0.020516051,205.1605071,2,0.010258025
7/8/2021,Berry Blossom,8,Control,22,0.989763566,0.8,0.797002223,0.011486761,114.8676066,2,0.00574338
7/8/2021,Red Bordeaux,8,Control,23,1,0.8,0.861326649,0.026362785,263.6278511,2,0.013181393
7/8/2021,Tahoe,8,Control,24,0.988912936,0.8,0.797903839,0.00576373,57.63729836,2,0.002881865
7/8/2021,Red Bordeaux,1,N+,3,1,0.8,0.864731445,0.0346038,346.0379955,2,0.0173019
7/8/2021,Tahoe,2,Control,4,1,0.8,0.824135084,0.012269146,122.6914562,2,0.006134573
7/8/2021,Berry Blossom,2,Control,5,1,0.8,0.841835862,0.019542487,195.424875,2,0.009771244
7/8/2021,Red Bordeaux,2,Control,6,0.971641385,0.8,0.773132755,0.007771369,77.71369264,2,0.003885685
7/8/2021,Red Bordeaux,3,N+,7,0.991071279,0.8,0.789909365,0.012302883,123.0288296,2,0.006151441
7/8/2021,Berry Blossom,3,N+,8,1,0.8,0.851506736,0.023399254,233.9925441,2,0.011699627
7/8/2021,Tahoe,3,N+,9,1,0.8,0.843563278,0.014218414,142.1841409,2,0.007109207
8/5/2021,Berry Blossom,1,N+,1,1,0.8,0.950666492,0.739089776,7390.897762,2,0.369544888
8/5/2021,Tahoe,4,Control,10,1,0.8,0.921369437,0.084434385,844.3438477,2,0.042217192
8/5/2021,Red Bordeaux,4,Control,11,1,0.8,0.925185589,0.336894641,3368.946411,2,0.168447321
8/5/2021,Berry Blossom,4,Control,12,1,0.8,0.939978875,0.434418578,4344.185779,2,0.217209289
8/5/2021,Tahoe,5,N+,13,1,0.8,0.941152762,0.370536123,3705.361232,2,0.185268062
8/5/2021,Berry Blossom,5,N+,14,1,0.8,0.96898673,1.079545581,10795.45581,2,0.53977279
8/5/2021,Red Bordeaux,5,N+,15,1,0.8,0.957744497,0.703339978,7033.399781,2,0.351669989
8/5/2021,Berry Blossom,6,Control,16,1,0.8,0.942032909,0.472946084,4729.460836,2,0.236473042
8/5/2021,Red Bordeaux,6,Control,17,1,0.8,0.945667763,0.425747546,4257.475463,2,0.212873773
8/5/2021,Tahoe,6,Control,18,1,0.8,0.947683382,0.275664048,2756.640484,2,0.137832024
8/5/2021,Tahoe,7,N+,19,1,0.8,0.936025566,0.297022997,2970.229971,2,0.148511499
8/5/2021,Tahoe,1,N+,2,1,0.8,0.963420211,0.916701336,9167.013362,2,0.458350668
8/5/2021,Berry Blossom,7,N+,20,1,0.8,0.948266785,0.651595468,6515.954683,2,0.325797734
8/5/2021,Red Bordeaux,7,N+,21,1,0.8,0.932662276,0.399955083,3999.550829,2,0.199977541
8/5/2021,Berry Blossom,8,Control,22,1,0.8,0.917423076,0.091855528,918.5552833,2,0.045927764
8/5/2021,Red Bordeaux,8,Control,23,1,0.8,0.941967071,0.344708316,3447.083159,2,0.172354158
