Date,Plant Number,Variety ,Block,Treatment ,chla (ug/mL),chlb (ug/mL),chla (mg/g FW),chlb (mg/g FW),chlt (ug/mL),chlt (mg/g) FW,chlt (mg/cm2),chla (mg/cm2),chlb(mg/cm2)
8/9/2021,1,Berry Blossom,1,N+,12.57,2.94,0.191481015,0.044789848,15.51512,0.236270863,0.020062655,0.003251876,0.000760655
8/9/2021,2,Berry Blossom,1,N+,14.65,3.62,0.208826081,0.051612827,18.27413,0.260438907,0.023630341,0.003789473,0.000936595
8/9/2021,3,Tahoe,1,N+,15.78,3.84,0.20744057,0.050503834,19.62527,0.257944403,0.025377504,0.004081751,0.00099375
8/9/2021,4,Tahoe,1,N+,13.2,3.03,0.220309986,0.050506815,16.22644,0.270816801,0.020982466,0.003413855,0.000782638
8/9/2021,5,Red Bordeaux,1,N+,13.31,3.22,0.167996972,0.04066877,16.53676,0.208665741,0.021383741,0.003443214,0.000833534
8/9/2021,6,Red Bordeaux,1,N+,14.33,3.43,0.204467586,0.04894887,17.76027,0.253416457,0.022965866,0.003705975,0.000887198
8/9/2021,7,Tahoe,1,Control,14.17,3.03,0.212867685,0.045473842,17.20124,0.258341527,0.022242983,0.003665545,0.000783052
8/9/2021,8,Tahoe,1,Control,11.77,2.77,0.16467021,0.038682517,14.53972,0.203352727,0.018801362,0.003044979,0.000715293
8/9/2021,9,Berry Blossom,1,Control,9,2.25,0.163168278,0.04082719,11.25375,0.203995468,0.014552263,0.002327961,0.000582491
8/9/2021,10,Berry Blossom,1,Control,11.79,2.66,0.20121542,0.045376387,14.44617,0.246591807,0.018680392,0.003048587,0.000687491
8/9/2021,11,Red Bordeaux,1,Control,11.98,2.86,0.174066247,0.041584504,14.84396,0.215650751,0.019194776,0.003098679,0.000740276
8/9/2021,12,Red Bordeaux,1,Control,8.3,1.79,0.130820184,0.028279632,10.08958,0.159099816,0.013046871,0.002145564,0.00046381
8/9/2021,13,Red Bordeaux,2,N+,12.26,2.97,0.167905753,0.04070411,15.22852,0.208609863,0.019692052,0.003169945,0.000768466
8/9/2021,14,Red Bordeaux,2,N+,13.78,3.35,0.202204694,0.04918533,17.13642,0.251390024,0.022159164,0.003564729,0.000867103
8/9/2021,15,Berry Blossom,2,N+,12.28,3.04,0.157134883,0.038918124,15.32481,0.196053006,0.019816565,0.003176563,0.00078675
8/9/2021,16,Berry Blossom,2,N+,9.84,2.25,0.142896174,0.032696368,12.08662,0.175592542,0.01562925,0.002543798,0.000582052
8/9/2021,17,Tahoe,2,N+,13.01,3.23,0.193967702,0.048098385,16.2386,0.242066087,0.02099819,0.003365172,0.000834466
8/9/2021,18,Tahoe,2,N+,13.85,3.31,0.246180622,0.058769778,17.15346,0.3049504,0.022181198,0.003581291,0.000854948
8/9/2021,19,Tahoe,2,Control,12.31,2.87,0.179199466,0.041797573,15.17513,0.220997039,0.019623013,0.003182335,0.000742267
8/9/2021,20,Tahoe,2,Control,14.02,3.44,0.209190448,0.051331343,17.45496,0.260521791,0.022571069,0.003624766,0.000889448
8/9/2021,21,Red Bordeaux,2,Control,10.56,2.4,0.168488936,0.038253191,12.95584,0.206742128,0.016753241,0.002730683,0.000619966
8/9/2021,22,Red Bordeaux,2,Control,14.38,3.59,0.219513893,0.054861069,17.97156,0.274374962,0.023239086,0.00371849,0.000929328
8/9/2021,23,Berry Blossom,2,Control,11.38,2.44,0.170844255,0.036699875,13.81898,0.20754413,0.017869371,0.002941909,0.000631966
8/9/2021,24,Berry Blossom,2,Control,11.31,2.61,0.164264165,0.037983051,13.92135,0.202247215,0.018001746,0.002924185,0.000676164
8/9/2021,25,Tahoe,3,N+,12.47,2.94,0.178344458,0.042108701,15.41335,0.220453159,0.019931056,0.003224806,0.000761405
8/9/2021,26,Tahoe,3,N+,15.48,3.91,0.220164313,0.055528436,19.39039,0.275692749,0.02507378,0.004004713,0.001010043
8/9/2021,27,Berry Blossom,3,N+,13.87,3.21,0.217585412,0.050426667,17.08577,0.268012078,0.022093668,0.003587346,0.000831388
8/9/2021,28,Berry Blossom,3,N+,13.01,3.17,0.222678231,0.054217404,16.17532,0.276895635,0.020916362,0.003364169,0.000819103
8/9/2021,29,Red Bordeaux,3,N+,13.01,3.06,0.201442374,0.047454968,16.07462,0.248897342,0.020786147,0.003364609,0.000792621
8/9/2021,30,Red Bordeaux,3,N+,12.14,2.9,0.191167087,0.045645669,15.03761,0.236812756,0.019445185,0.003139425,0.000749612
8/9/2021,31,Berry Blossom,3,Control,12.22,2.97,0.187328123,0.045443678,15.18836,0.232771801,0.019640121,0.003161162,0.000766862
8/9/2021,32,Berry Blossom,3,Control,12.65,3.17,0.19309771,0.048470229,15.8227,0.241567939,0.020460388,0.003271009,0.000821069
8/9/2021,33,Red Bordeaux,3,Control,11.4,2.7,0.202673067,0.047957333,14.09796,0.2506304,0.018230121,0.002948369,0.000697655
8/9/2021,34,Red Bordeaux,3,Control,13.48,3.01,0.199216108,0.04450197,16.49159,0.243718079,0.021325332,0.003486282,0.000778784
8/9/2021,35,Tahoe,3,Control,12.53,2.79,0.188732597,0.042078294,15.32969,0.230810891,0.019822875,0.003241808,0.000722767
8/9/2021,36,Tahoe,3,Control,10.62,2.43,0.172978616,0.039583718,13.05487,0.212562334,0.016881297,0.002747527,0.000628733
8/9/2021,37,Tahoe,4,N+,10.85,2.56,0.148127372,0.034955631,13.41083,0.183083003,0.017341591,0.00280612,0.000662198
8/9/2021,38,Tahoe,4,N+,13.11,3.21,0.190650327,0.046651636,16.31451,0.237301964,0.021096349,0.003389796,0.000829474
8/9/2021,39,Berry Blossom,4,N+,11.38,2.83,0.165780874,0.041164078,14.21022,0.206944951,0.018375284,0.00294404,0.000731017
8/9/2021,40,Berry Blossom,4,N+,8.19,2.08,0.12102266,0.030768473,10.2712,0.151791133,0.013281724,0.002117897,0.000538448
8/9/2021,41,Red Bordeaux,4,N+,13.48,3.62,0.201228955,0.054038806,17.10294,0.255267761,0.022115871,0.003486812,0.000936362
8/9/2021,42,Red Bordeaux,4,N+,10.95,2.4,0.171808941,0.037581176,13.34862,0.209390118,0.017261147,0.002832626,0.000619603
8/9/2021,43,Berry Blossom,4,Control,11.37,2.47,0.174292567,0.03777931,13.83769,0.212071877,0.017893565,0.002941187,0.000637526
8/9/2021,44,Berry Blossom,4,Control,9.21,2.04,0.161416467,0.035767007,11.25589,0.197183474,0.01455503,0.00238298,0.000528026
8/9/2021,45,Red Bordeaux,4,Control,12.98,3.18,0.215198122,0.052664088,16.16102,0.26786221,0.020897871,0.003357833,0.000821741
8/9/2021,46,Red Bordeaux,4,Control,14.39,3.53,0.204790463,0.050233452,17.91543,0.255023915,0.023166504,0.003720654,0.000912647
8/9/2021,47,Tahoe,4,Control,6.18,1.39,0.086652336,0.01952243,7.5738,0.106174766,0.009793707,0.001598586,0.000360155
8/9/2021,48,Tahoe,4,Control,16.07,3.92,0.214549989,0.052390211,19.99827,0.2669402,0.025859832,0.004156906,0.00101506
8/19/2021,1,Berry Blossom,1,N+,13.67,2.87,0.209004994,0.043877197,16.54271,0.252882191,0.021391435,0.003535968,0.000742319
8/19/2021,2,Berry Blossom,1,N+,13.95,3.91,0.216346977,0.060654264,17.86658,0.27700124,0.023103336,0.003608891,0.001011776
