Date,Plant Number,Variety,Plot,Row,Treatment ,Dried Weight (g),Leaf Area cm^2,SLA cm^2/g
8/9/2021,1,Berry Blossom,1,1,N+,0.376,24.89930823,66.22156444
8/9/2021,2,Berry Blossom,1,1,N+,0.422,24.70014228,58.53114284
8/9/2021,3,Tahoe,2,1,N+,0.518,34.42541816,66.45833622
8/9/2021,4,Tahoe,2,1,N+,0.679,56.9287212,83.84200471
8/9/2021,5,Red Bordeaux,3,1,N+,0.406,25.68798075,63.27088855
8/9/2021,6,Red Bordeaux,3,1,N+,0.304,25.42839,83.64601974
8/9/2021,7,Tahoe,4,2,Control,0.438,33.33508776,76.1075063
8/9/2021,8,Tahoe,4,2,Control,0.319,19.56512292,61.33267373
8/9/2021,9,Berry Blossom,5,2,Control,0.15,11.9902335,79.93489
8/9/2021,10,Berry Blossom,5,2,Control,0.235,18.14545842,77.21471668
8/9/2021,11,Red Bordeaux,6,2,Control,0.33,22.93492152,69.49976218
8/9/2021,12,Red Bordeaux,6,2,Control,0.235,13.40792862,57.0550154
8/9/2021,13,Red Bordeaux,7,3,N+,0.384,28.15648797,73.32418742
8/9/2021,14,Red Bordeaux,7,3,N+,0.285,23.93476036,83.9816153
8/9/2021,15,Berry Blossom,8,3,N+,0.436,33.47222319,76.77115411
8/9/2021,16,Berry Blossom,8,3,N+,0.295,15.34359554,52.01218827
8/9/2021,17,Tahoe,9,3,N+,0.527,36.79569846,69.8210597
8/9/2021,18,Tahoe,9,3,N+,0.417,26.49601589,63.53960645
8/9/2021,19,Tahoe,10,4,Control,0.239,16.75549395,70.10666925
8/9/2021,20,Tahoe,10,4,Control,0.326,20.36245955,62.46153236
8/9/2021,21,Red Bordeaux,11,4,Control,0.249,17.7010704,71.08863614
8/9/2021,22,Red Bordeaux,11,4,Control,0.262,10.8720624,41.49642137
8/9/2021,23,Berry Blossom,12,4,Control,0.331,20.121969,60.79144713
8/9/2021,24,Berry Blossom,12,4,Control,0.302,16.35012852,54.13949841
8/9/2021,25,Tahoe,13,5,N+,0.439,30.49445397,69.46344868
8/9/2021,26,Tahoe,13,5,N+,0.492,23.84330958,48.46201134
8/9/2021,27,Berry Blossom,14,5,N+,0.372,20.0367369,53.86219597
8/9/2021,28,Berry Blossom,14,5,N+,0.254,17.83820562,70.22915598
8/9/2021,29,Red Bordeaux,15,5,N+,0.336,21.54533348,64.12301631
8/9/2021,30,Red Bordeaux,15,5,N+,0.295,18.66129354,63.25862217
8/9/2021,31,Berry Blossom,16,6,Control,0.471,27.95341404,59.34907439
8/9/2021,32,Berry Blossom,16,6,Control,0.295,26.3096262,89.18517356
8/9/2021,33,Red Bordeaux,17,6,Control,0.315,23.81060214,75.58921314
8/9/2021,34,Red Bordeaux,17,6,Control,0.266,10.49244504,39.44528211
8/9/2021,35,Tahoe,18,6,Control,0.427,36.29063603,84.98977993
