Date,Plant Number,Variety ,Block,Treatment ,delta 15 N,perc Nitrogen,delta 13 C,perc Carbon
8/9/2021,1,Berry Blossom,1,N+,6.2,4.97,-26.1,43.7
8/9/2021,2,Berry Blossom,1,N+,7.7,4.94,-26.1,43.5
8/9/2021,3,Tahoe,1,N+,8.3,5.18,-25.5,44.0
8/9/2021,4,Tahoe,1,N+,8.8,4.92,-26.3,42.9
8/9/2021,5,Red Bordeaux,1,N+,10.3,5.40,-24.4,44.4
8/9/2021,6,Red Bordeaux,1,N+,9.6,5.06,-25.3,44.1
8/9/2021,7,Tahoe,1,Control,10.9,4.82,-26.5,43.4
8/9/2021,8,Tahoe,1,Control,13.8,5.43,-25.0,45.5
8/9/2021,9,Berry Blossom,1,Control,10.8,3.73,-29.9,43.0
8/9/2021,10,Berry Blossom,1,Control,10.0,3.51,-28.1,41.0
8/9/2021,11,Red Bordeaux,1,Control,9.3,4.70,-26.1,42.2
8/9/2021,12,Red Bordeaux,1,Control,7.2,3.55,-27.5,40.4
8/9/2021,13,Red Bordeaux,2,N+,7.9,5.32,-26.1,43.8
8/9/2021,14,Red Bordeaux,2,N+,6.2,5.22,-25.1,45.0
8/9/2021,15,Berry Blossom,2,N+,11.8,5.04,-25.6,44.8
8/9/2021,16,Berry Blossom,2,N+,6.6,5.05,-25.7,44.4
8/9/2021,17,Tahoe,2,N+,4.5,5.57,-25.9,44.4
8/9/2021,18,Tahoe,2,N+,4.1,5.33,-24.8,46.0
8/9/2021,19,Tahoe,2,Control,6.6,4.28,-24.7,45.9
8/9/2021,20,Tahoe,2,Control,6.6,4.74,-26.0,46.4
8/9/2021,21,Red Bordeaux,2,Control,12.8,4.58,-26.4,45.2
8/9/2021,22,Red Bordeaux,2,Control,10.5,4.74,-25.0,45.6
8/9/2021,23,Berry Blossom,2,Control,10.1,4.61,-26.5,44.3
8/9/2021,24,Berry Blossom,2,Control,10.5,4.86,-26.2,45.5
8/9/2021,25,Tahoe,3,N+,7.1,5.81,-25.6,46.0
8/9/2021,26,Tahoe,3,N+,10.0,5.72,-25.1,45.6
8/9/2021,27,Berry Blossom,3,N+,9.4,5.48,-25.8,46.1
8/9/2021,28,Berry Blossom,3,N+,10.8,5.73,-25.0,46.1
8/9/2021,29,Red Bordeaux,3,N+,6.4,5.86,-24.8,47.6
8/9/2021,30,Red Bordeaux,3,N+,11.2,5.71,-25.1,47.1
8/9/2021,31,Berry Blossom,3,Control,14.9,4.11,-26.2,45.7
8/9/2021,32,Berry Blossom,3,Control,16.6,5.66,-28.1,45.8
8/9/2021,33,Red Bordeaux,3,Control,16.3,4.68,-25.8,44.1
8/9/2021,34,Red Bordeaux,3,Control,15.7,5.05,-26.3,46.3
8/9/2021,35,Tahoe,3,Control,11.4,4.68,-26.5,46.2
8/9/2021,36,Tahoe,3,Control,12.9,4.93,-26.2,45.4
8/9/2021,37,Tahoe,4,N+,10.0,5.22,-24.8,46.6
8/9/2021,38,Tahoe,4,N+,11.2,5.75,-25.1,46.7
8/9/2021,39,Berry Blossom,4,N+,11.4,5.94,-25.2,47.2
8/9/2021,40,Berry Blossom,4,N+,8.1,6.17,-27.5,46.9
8/9/2021,41,Red Bordeaux,4,N+,6.3,5.71,-24.8,47.2
8/9/2021,42,Red Bordeaux,4,N+,5.2,5.62,-27.3,45.1
8/9/2021,43,Berry Blossom,4,Control,8.9,4.72,-26.9,43.5
8/9/2021,44,Berry Blossom,4,Control,10.3,4.50,-29.4,44.7
8/9/2021,45,Red Bordeaux,4,Control,14.0,5.22,-25.3,46.2
8/9/2021,46,Red Bordeaux,4,Control,18.6,5.13,-25.7,47.1
8/9/2021,47,Tahoe,4,Control,9.5,4.62,-25.4,46.4
8/9/2021,48,Tahoe,4,Control,11.4,5.35,-24.8,47.1
8/19/2021,1,Berry Blossom,1,N+,6.7,5.06,-25.0,45.7
8/19/2021,2,Berry Blossom,1,N+,6.6,5.50,-25.0,46.3
8/19/2021,3,Tahoe,1,N+,8.1,4.89,-24.7,46.2
